"[-8 -5 0 -8]",[0 0]
"[-8 -5 0 -7]",[0 0]
"[-8 -5 0 -6]",[0 0]
"[-8 -5 0 -5]",[0 0]
"[-8 -5 0 -4]",[0 0]
"[-8 -5 0 -3]",[0 0]
"[-8 -5 0 -2]",[0 0]
"[-8 -5 0 -1]",[0 0]
"[-8 -5 0 0]",[0 0]
"[-8 -5 0 1]",[0 0]
"[-8 -5 0 2]",[0 0]
"[-8 -5 0 3]",[0 0]
"[-8 -5 0 4]",[0 0]
"[-8 -5 0 5]",[0 0]
"[-8 -5 0 6]",[0 0]
"[-8 -5 0 7]",[0 0]
"[-8 -5 0 8]",[0 0]
"[-8 -5 1 -8]",[0 0]
"[-8 -5 1 -7]",[0 0]
"[-8 -5 1 -6]",[0 0]
"[-8 -5 1 -5]",[0 0]
"[-8 -5 1 -4]",[0 0]
"[-8 -5 1 -3]",[0 0]
"[-8 -5 1 -2]",[0 0]
"[-8 -5 1 -1]",[0 0]
"[-8 -5 1 0]",[0 0]
"[-8 -5 1 1]",[0 0]
"[-8 -5 1 2]",[0 0]
"[-8 -5 1 3]",[0 0]
"[-8 -5 1 4]",[0 0]
"[-8 -5 1 5]",[0 0]
"[-8 -5 1 6]",[0 0]
"[-8 -5 1 7]",[0 0]
"[-8 -5 1 8]",[0 0]
"[-8 -5 2 -8]",[0 0]
"[-8 -5 2 -7]",[0 0]
"[-8 -5 2 -6]",[0 0]
"[-8 -5 2 -5]",[0 0]
"[-8 -5 2 -4]",[0 0]
"[-8 -5 2 -3]",[0 0]
"[-8 -5 2 -2]",[0 0]
"[-8 -5 2 -1]",[0 0]
"[-8 -5 2 0]",[0 0]
"[-8 -5 2 1]",[0 0]
"[-8 -5 2 2]",[0 0]
"[-8 -5 2 3]",[0 0]
"[-8 -5 2 4]",[0 0]
"[-8 -5 2 5]",[0 0]
"[-8 -5 2 6]",[0 0]
"[-8 -5 2 7]",[0 0]
"[-8 -5 2 8]",[0 0]
"[-8 -5 3 -8]",[0 0]
"[-8 -5 3 -7]",[0 0]
"[-8 -5 3 -6]",[0 0]
"[-8 -5 3 -5]",[0 0]
"[-8 -5 3 -4]",[0 0]
"[-8 -5 3 -3]",[0 0]
"[-8 -5 3 -2]",[0 0]
"[-8 -5 3 -1]",[0 0]
"[-8 -5 3 0]",[0 0]
"[-8 -5 3 1]",[0 0]
"[-8 -5 3 2]",[0 0]
"[-8 -5 3 3]",[0 0]
"[-8 -5 3 4]",[0 0]
"[-8 -5 3 5]",[0 0]
"[-8 -5 3 6]",[0 0]
"[-8 -5 3 7]",[0 0]
"[-8 -5 3 8]",[0 0]
"[-8 -5 4 -8]",[0 0]
"[-8 -5 4 -7]",[0 0]
"[-8 -5 4 -6]",[0 0]
"[-8 -5 4 -5]",[0 0]
"[-8 -5 4 -4]",[0 0]
"[-8 -5 4 -3]",[0 0]
"[-8 -5 4 -2]",[0 0]
"[-8 -5 4 -1]",[0 0]
"[-8 -5 4 0]",[0 0]
"[-8 -5 4 1]",[0 0]
"[-8 -5 4 2]",[0 0]
"[-8 -5 4 3]",[0 0]
"[-8 -5 4 4]",[0 0]
"[-8 -5 4 5]",[0 0]
"[-8 -5 4 6]",[0 0]
"[-8 -5 4 7]",[0 0]
"[-8 -5 4 8]",[0 0]
"[-8 -4 0 -8]",[0 0]
"[-8 -4 0 -7]",[0 0]
"[-8 -4 0 -6]",[0 0]
"[-8 -4 0 -5]",[0 0]
"[-8 -4 0 -4]",[0 0]
"[-8 -4 0 -3]",[0 0]
"[-8 -4 0 -2]",[0 0]
"[-8 -4 0 -1]",[0 0]
"[-8 -4 0 0]",[0 0]
"[-8 -4 0 1]",[0 0]
"[-8 -4 0 2]",[0 0]
"[-8 -4 0 3]",[0 0]
"[-8 -4 0 4]",[0 0]
"[-8 -4 0 5]",[0 0]
"[-8 -4 0 6]",[0 0]
"[-8 -4 0 7]",[0 0]
"[-8 -4 0 8]",[0 0]
"[-8 -4 1 -8]",[0 0]
"[-8 -4 1 -7]",[0 0]
"[-8 -4 1 -6]",[0 0]
"[-8 -4 1 -5]",[0 0]
"[-8 -4 1 -4]",[0 0]
"[-8 -4 1 -3]",[0 0]
"[-8 -4 1 -2]",[0 0]
"[-8 -4 1 -1]",[0 0]
"[-8 -4 1 0]",[0 0]
"[-8 -4 1 1]",[0 0]
"[-8 -4 1 2]",[0 0]
"[-8 -4 1 3]",[0 0]
"[-8 -4 1 4]",[0 0]
"[-8 -4 1 5]",[0 0]
"[-8 -4 1 6]",[0 0]
"[-8 -4 1 7]",[0 0]
"[-8 -4 1 8]",[0 0]
"[-8 -4 2 -8]",[0 0]
"[-8 -4 2 -7]",[0 0]
"[-8 -4 2 -6]",[0 0]
"[-8 -4 2 -5]",[0 0]
"[-8 -4 2 -4]",[0.6032843161709278 2.1480845247820155]
"[-8 -4 2 -3]",[1.9029233196183974 1.003940518029392]
"[-8 -4 2 -2]",[0.7510533114398491 1.418096108837588]
"[-8 -4 2 -1]",[0.761606024368179 1.2024326203626015]
"[-8 -4 2 0]",[0.9267349512317841 0.7271911608504832]
"[-8 -4 2 1]",[1.3981881144852035 0.7464514035063157]
"[-8 -4 2 2]",[0.6102441822639741 1.239825253970084]
"[-8 -4 2 3]",[0.7851729654974897 1.8556270924932436]
"[-8 -4 2 4]",[0.5264407624640918 0.1970620010580706]
"[-8 -4 2 5]",[-2.284846370461853 1.6138107167253397]
"[-8 -4 2 6]",[2.2257495978767166 -1.8930999136382842]
"[-8 -4 2 7]",[0 0]
