"[-7 -4 7]",[-0.16289621156326883 -0.15627818967236437]
"[-7 -3 -7]",[0.00771235353153636 0.009844579474695053]
"[-7 -3 -6]",[0.007485445054823165 0.006935567289674435]
"[-7 -3 -5]",[0.01015633425496723 -0.9662750857030814]
"[-7 -3 -4]",[0.00740247686637617 -0.921252665859263]
"[-7 -3 -3]",[-0.9834594093345868 -0.9816121081224085]
"[-7 -3 -2]",[-0.9776929088489368 -0.9773612611286441]
"[-7 -3 -1]",[-0.9632178496159409 -0.9612978381853452]
"[-7 -3 0]",[-0.959357354110204 -0.9570237508099206]
"[-7 -3 1]",[-0.963768613943204 -0.9620361946467382]
"[-7 -3 2]",[-0.9529371210320445 -0.9540323968667518]
"[-7 -3 3]",[-0.9697491313192693 -0.9712556316233512]
"[-7 -3 4]",[-0.9671174558369614 -0.9692183979371203]
"[-7 -3 5]",[-0.9865783765108891 -1.0348703020840293]
"[-7 -3 6]",[-1.0012699430282959 -1.0654878871108728]
"[-7 -3 7]",[-1.0714651923538328 -1.0973663108480551]
"[-7 -2 -7]",[0.008609261391997882 0.007366745771955645]
"[-7 -2 -6]",[0.008080281805317585 0.011535535045650849]
"[-7 -2 -5]",[0.008269514724487196 -0.07823851694906397]
"[-7 -2 -4]",[0.011462629386406525 -0.7222092052299434]
"[-7 -2 -3]",[-0.3479456811210612 -0.7686470194403399]
"[-7 -2 -2]",[-0.6046539821205125 -0.8017382972716504]
"[-7 -2 -1]",[-0.7454273770507012 -0.8320551325356818]
"[-7 -2 0]",[-0.8176256696494364 -0.8302455993661245]
"[-7 -2 1]",[-0.8097405333316867 -0.7969885222919828]
"[-7 -2 2]",[-0.8163921915266369 -0.8192878016827757]
"[-7 -2 3]",[-0.8269061515772665 -0.8322484578055873]
"[-7 -2 4]",[-0.8492998695881808 -0.8509000572105991]
"[-7 -2 5]",[-0.8576040539714296 -0.8335042180404678]
"[-7 -2 6]",[-0.8632165028356669 -0.8762442615633802]
"[-7 -2 7]",[-0.8474208073999685 -0.8657360498949213]
"[-7 -1 -7]",[0.00830875509433371 0.011882909155654375]
"[-7 -1 -6]",[0.008819625970749765 0.0072000648867912645]
"[-7 -1 -5]",[0.020458134139762815 0.009057869963327579]
"[-7 -1 -4]",[0.0077739591048209345 -0.11512991706102449]
"[-7 -1 -3]",[0.008360787198858754 -0.6134519807124182]
"[-7 -1 -2]",[-0.08837166622198483 -0.697352072891307]
"[-7 -1 -1]",[-0.6833318809904996 -0.7080492244272288]
"[-7 -1 0]",[-0.6991913308016094 -0.6988223143818459]
"[-7 -1 1]",[-0.6783415701153921 -0.6764528826973228]
"[-7 -1 2]",[-0.6586548097793833 -0.6565060514694897]
"[-7 -1 3]",[-0.656743351925285 -0.6590015333623674]
"[-7 -1 4]",[-0.6246708358626809 -0.6340776082447083]
"[-7 -1 5]",[-0.6453446629018162 -0.6463806013677381]
"[-7 -1 6]",[-0.6381970674814358 -0.6530569866788969]
"[-7 -1 7]",[-0.6483109114441626 -0.6472728616269023]
"[-7 0 -7]",[0.01890698628701899 0.008169852294032554]
"[-7 0 -6]",[0.02569570341951424 0.011829205923708045]
"[-7 0 -5]",[0.01306910948046003 0.00732900699054918]
"[-7 0 -4]",[0.012697853826978744 0.009510383256956492]
"[-7 0 -3]",[0.0072751283054357605 -0.10082176108788041]
"[-7 0 -2]",[0.006681125882681782 -0.4942382433631214]
